County,Structural Property,Other,Convenience Store,$200 through $400,Pocket-Picking,Knife or Cutting Instrument,Bank,Aggravated Assault,Forcible Entry,Rape (Forcible Rape prior to 2014),Highway,Motor Vehicle Accessories,Robbery,Attempted Rape,Other Weapon,Hands  Fists  Feet,$50 through $199,Purse-Snatching,Mobile Property,Violent Crimes,Over $400,Non-Residence,From Motor Vehicle,Coin Operated Machine,Homicide,Commercial,Property Crimes,Automotive,Trucks and Buses,From Building,Other Property,Night,Under $50,Bicycles,Over $200,Rape,Residence,Motor Vehicle Theft,Burglary,Arson,Larceny-Theft,Shoplifting,Firearm,Unknown,Gas Station,No Force,Miscellaneous,Strong-Arm,Day
San Bernardino,170.0,"7,675",288.0,"4,239",119.0,"1,047",18.0,"6,261","8,405",846,805,"2,829","2,982",43.0,"2,462","1,667","5,069",75.0,118.0,"10,217","11,019","5,031","10,726",40.0,128.0,780,"52,007","7,790","1,793","2,566",122,"1,969","9,661",456,0.0,803,"6,680","10,308","11,711",410,"29,988","5,502","1,085","1,957",107.0,"3,306",656,"1,502","1,105"
San Diego,151.0,"4,175",153.0,"5,981",79.0,"1,461",48.0,"7,097","4,658","1,098","1,495","1,387","3,013",124.0,"2,971","1,836","6,951",159.0,69.0,"11,288","16,107","3,853","15,022",46.0,80.0,684,"56,797","7,338","1,161","9,112",127,"1,438","8,907","2,648",0.0,974,"5,267","9,731","9,120",347,"37,946","5,318",829,"1,707",99.0,"4,462",318,"1,781",708
San Francisco,74.0,"8,672",251.0,"3,387",841.0,331,26.0,"2,700","2,499",373,862,93,"3,281",54.0,"1,203",870,"3,213",46.0,95.0,"6,410","21,382","2,974","29,851",8.0,56.0,187,"55,253","3,803",422,"2,876",134,"1,870","17,403",790,0.0,319,"2,019","4,875","4,993",303,"45,385","2,208",296,16,8.0,"2,494","1,896","2,065","1,088"
San Joaquin,133.0,"2,909",173.0,"1,902",17.0,333,25.0,"4,005","2,620",247,181,"1,269","1,671",17.0,"1,536","1,097","2,591",21.0,44.0,"5,991","5,038","1,639","5,966",41.0,68.0,293,"21,751","2,589","1,027",950,93,720,"4,434",358,0.0,230,"2,286","3,861","3,925",270,"13,965","2,434","1,039",484,41.0,"1,305",723,760,435
San Luis Obispo,7.0,"1,119",11.0,647,10.0,67,3.0,646,643,96,12,130,85,9.0,131,421,963,17.0,5.0,829,"1,331",640,"1,303",12.0,2.0,11,"5,812",272,68,361,24,276,"1,404",416,0.0,87,398,429,"1,038",36,"4,345",977,27,218,5.0,395,31,45,146
San Mateo,58.0,"2,217",21.0,"1,691",94.0,136,10.0,"1,029","1,302",325,167,441,567,7.0,353,474,"2,027",55.0,3.0,"1,928","4,916","1,497","4,968",23.0,7.0,156,"15,142","1,230",230,"1,093",31,686,"2,421",618,0.0,318,984,"1,606","2,481",92,"11,055","1,546",66,130,15.0,"1,179",153,356,681
Santa Barbara,30.0,"2,245",26.0,847,30.0,205,5.0,940,864,257,128,337,327,20.0,271,394,935,22.0,7.0,"1,532","1,984",724,"1,248",13.0,8.0,45,"8,742","1,038",94,499,17,235,"2,059",651,0.0,237,939,"1,254","1,663",54,"5,825",780,70,253,7.0,799,73,199,236
Santa Clara,117.0,"4,613",171.0,"3,718",157.0,656,22.0,"3,258","4,853",799,752,"2,097","1,892",19.0,"1,305",701,"4,154",175.0,43.0,"5,995","13,857","2,992","12,664",33.0,46.0,482,"44,954","7,422","2,391","1,734",106,"1,234","6,044","2,493",0.0,780,"3,859","10,330","6,851",266,"27,773","3,807",596,"1,270",53.0,"1,998",281,986,488
Santa Cruz,37.0,"1,124",23.0,"1,021",20.0,128,4.0,665,734,156,28,445,232,22.0,231,226,"1,125",34.0,7.0,"1,056","2,666",651,"2,858",28.0,3.0,6,"8,947",964,187,427,25,375,"1,633",607,0.0,134,584,"1,267","1,235",69,"6,445",902,80,159,11.0,501,139,112,117
Shasta,11.0,459,46.0,411,6.0,182,3.0,924,745,118,68,351,177,3.0,381,245,577,5.0,0.0,"1,225","1,095",471,"1,397",1.0,6.0,8,"5,645",841,260,286,50,190,"1,092",113,0.0,115,778,"1,221","1,249",61,"3,175",557,116,220,6.0,504,17,102,61
Sierra,0.0,1,0.0,2,0.0,0,0.0,4,3,0,0,1,1,0.0,3,0,2,0.0,0.0,5,4,2,2,0.0,0.0,0,28,2,0,3,0,1,4,3,0.0,0,10,4,12,0,12,2,1,1,0.0,9,0,0,0
Siskiyou,1.0,105,0.0,59,2.0,22,1.0,147,190,15,1,22,8,2.0,48,73,89,2.0,1.0,176,112,145,68,2.0,6.0,0,800,95,10,58,2,47,121,19,0.0,13,145,129,290,4,381,103,4,70,1.0,100,4,6,28
Solano,12.0,352,4.0,159,2.0,32,1.0,240,377,23,12,59,59,1.0,107,69,214,9.0,10.0,325,388,179,309,7.0,3.0,12,"2,072",344,97,103,9,73,271,38,0.0,22,371,490,550,31,"1,032",153,32,78,5.0,173,15,36,28
Sonoma,99.0,"1,340",53.0,796,28.0,127,19.0,"1,202","2,334",179,195,496,701,8.0,345,538,"1,073",52.0,11.0,"2,112","2,380","2,205","2,249",11.0,30.0,141,"12,004","1,399",438,848,30,"1,073","2,088",156,0.0,171,"1,455","2,007","3,660",140,"6,337","1,157",192,238,42.0,"1,326",166,366,894
Stanislaus,23.0,"1,394",6.0,713,21.0,204,10.0,"1,438",596,298,77,283,277,1.0,420,683,841,27.0,6.0,"2,025","2,000",731,"2,073",11.0,12.0,59,"7,586",554,190,457,35,181,"1,804",334,0.0,297,668,829,"1,399",64,"5,358",758,131,309,5.0,803,81,159,241
Sutter,35.0,"3,129",88.0,"1,365",12.0,256,4.0,"2,158","1,815",196,342,525,905,6.0,735,920,"1,964",27.0,35.0,"3,300","3,304","1,276","3,419",22.0,41.0,275,"16,789","2,501",499,801,57,595,"4,148",345,0.0,190,"1,498","3,234","2,774",127,"10,781","2,501",247,385,25.0,959,91,444,296
Tehama,7.0,435,14.0,292,6.0,22,2.0,222,345,32,27,86,87,2.0,110,72,428,2.0,3.0,342,570,274,581,2.0,1.0,13,"2,847",372,76,128,7,73,463,96,0.0,30,336,484,610,17,"1,753",417,18,142,3.0,265,15,51,59
Trinity,8.0,297,2.0,159,3.0,24,0.0,168,219,52,8,60,46,3.0,23,100,308,8.0,0.0,274,262,191,240,2.0,8.0,8,"1,823",144,70,310,4,70,391,28,0.0,49,256,256,447,12,"1,120",172,21,37,1.0,228,17,27,84
Tulare,1.0,36,0.0,15,6.0,10,2.0,63,67,5,0,14,8,0.0,23,14,10,1.0,0.0,77,47,29,16,2.0,1.0,0,254,63,0,17,0,6,34,1,0.0,5,55,64,84,1,106,13,16,22,0.0,17,6,1,1
Tuolumne,24.0,"1,792",36.0,615,19.0,188,2.0,"1,068","1,801",162,109,752,382,13.0,337,376,"1,483",34.0,25.0,"1,645","2,807","1,051","2,092",30.0,33.0,56,"11,722","1,397",605,694,23,373,"2,247",320,0.0,149,"1,308","2,211","2,359",72,"7,152","1,419",167,408,30.0,558,107,161,270
Ventura,10.0,185,0.0,90,1.0,8,1.0,136,195,48,4,83,20,4.0,65,60,91,0.0,0.0,206,223,147,87,2.0,2.0,6,"1,124",79,27,183,3,47,219,14,0.0,44,232,122,379,13,623,68,3,27,0.0,184,3,14,73
Yolo,34.0,"1,909",53.0,"1,861",38.0,301,8.0,"1,213","1,683",270,224,884,730,2.0,335,403,"2,545",10.0,26.0,"2,239","4,030","1,282","4,114",54.0,26.0,146,"15,985","1,144",328,"1,092",50,589,"3,328",634,0.0,268,"1,330","1,609","2,612",110,"11,764","3,029",174,484,20.0,929,236,313,209
Yuba,39.0,"1,004",14.0,757,13.0,51,1.0,328,580,65,58,233,166,2.0,118,126,972,14.0,13.0,568,"1,402",469,"1,460",8.0,9.0,22,"5,656",487,63,162,21,177,958,797,0.0,63,479,619,948,73,"4,089",398,33,217,6.0,368,41,98,75
