County,Violent Crimes,Highway,Shoplifting,Hands  Fists  Feet,Strong-Arm,$50 through $199,Bank,Over $400,Other,Day,Coin Operated Machine,Gas Station,Night,Under $50,Property Crimes,$200 through $400,No Force,Structural Property,Forcible Entry,Arson,Firearm,Homicide,Robbery,Rape,From Motor Vehicle,Other Weapon,Pocket-Picking,Larceny-Theft,Miscellaneous,Mobile Property,Rape (Forcible Rape prior to 2014),Motor Vehicle Accessories,Other Property,Purse-Snatching,Burglary,Knife or Cutting Instrument,Commercial,Trucks and Buses,Convenience Store,Over $200,Unknown,Residence,From Building,Motor Vehicle Theft,Non-Residence,Aggravated Assault,Bicycles,Attempted Rape,Automotive
Imperial,628,32,587,262,61,527,2.0,569,"1,474",253,2.0,5.0,246,"1,613","4,836",308,453,22.0,840,80,39,7.0,87,33,483,158,5.0,"3,017",36,13.0,45,163,45,59.0,"1,293",30,8,53,1.0,0.0,293,501,72,526,792,489,172,12.0,409
Inyo,128,3,57,54,10,67,0.0,102,100,30,2.0,0.0,27,96,514,62,73,2.0,58,3,7,0.0,11,16,41,25,3.0,327,0,1.0,16,10,0,3.0,131,15,1,4,0.0,0.0,9,65,61,56,66,101,50,0.0,42
Kern,"4,989",386,"2,331","1,233",655,"2,845",10.0,"5,829","4,185",794,97.0,43.0,"1,682","4,772","28,933","2,159","2,344",316.0,"5,085",692,523,89.0,"1,297",287,"6,089","1,051",101.0,"15,605",360,224.0,307,"1,523",152,54.0,"7,429",489,238,"1,204",117.0,0.0,"1,494","3,459",833,"5,899","3,970","3,296",392,20.0,"4,278"
Kings,754,30,308,315,62,427,2.0,584,514,67,4.0,9.0,59,512,"2,935",263,259,25.0,361,31,44,9.0,104,78,506,140,2.0,"1,786",18,2.0,88,134,4,11.0,620,54,19,156,8.0,0.0,77,417,254,529,203,553,53,10.0,290
Lake,396,19,109,136,27,108,0.0,255,341,89,3.0,0.0,76,272,"1,628",106,304,31.0,253,31,32,7.0,53,41,101,85,8.0,741,12,0.0,46,53,0,8.0,557,37,4,76,2.0,0.0,54,338,108,330,219,290,10,5.0,182
Lassen,270,0,43,138,5,79,0.0,90,109,5,2.0,0.0,6,108,598,49,88,6.0,121,10,7,1.0,13,15,84,81,0.0,326,8,0.0,15,13,4,1.0,209,15,0,6,0.0,0.0,73,125,63,63,84,241,11,0.0,47
Los Angeles,"59,924","10,502","22,037","9,474","11,256","25,694",174.0,"66,896","25,184","4,856",410.0,384.0,"9,205","40,013","248,714","21,733","12,155",602.0,"34,817","2,529","7,415",580.0,"21,089","4,060","55,252","10,494",817.0,"154,336","3,482",545.0,"4,302","19,903","1,382",606.0,"46,972","6,570","4,561","11,810",788.0,0.0,"6,371","26,540","24,165","47,406","20,432","33,953","5,962",242.0,"32,917"
Madera,891,13,211,416,82,384,1.0,598,741,88,13.0,4.0,227,570,"3,484",278,302,9.0,639,32,71,7.0,145,48,461,140,7.0,"1,830",77,8.0,56,70,15,13.0,941,56,17,68,16.0,0.0,93,533,241,713,408,683,73,8.0,585
Marin,463,53,502,94,100,539,4.0,"1,632",657,239,9.0,5.0,210,940,"5,006",479,472,16.0,469,27,12,4.0,149,43,"1,485",113,20.0,"3,590",41,0.0,46,154,11,41.0,941,45,31,136,4.0,0.0,78,414,412,475,527,264,310,3.0,313
Mariposa,108,1,19,79,2,35,0.0,85,110,1,0.0,0.0,10,38,290,35,41,0.0,42,0,2,0.0,3,9,16,9,0.0,193,1,0.0,9,13,0,1.0,83,6,0,1,0.0,0.0,15,57,32,14,26,96,2,0.0,11
Mendocino,480,16,234,242,29,168,1.0,233,215,33,15.0,2.0,84,234,"1,274",114,137,12.0,178,26,14,4.0,49,43,108,101,1.0,749,9,2.0,51,50,12,3.0,315,19,9,14,2.0,0.0,64,134,63,210,181,376,60,8.0,180
Merced,"1,557",86,961,682,148,"1,026",1.0,"1,388","1,213",146,10.0,6.0,393,"1,339","7,148",630,505,58.0,"1,102",132,158,19.0,274,60,"1,418",278,23.0,"4,383",52,16.0,64,187,58,22.0,"1,607",82,60,134,32.0,0.0,169,899,373,"1,158",708,"1,200",176,4.0,921
Modoc,58,0,2,16,2,38,0.0,37,51,5,0.0,0.0,5,25,179,24,20,1.0,20,2,0,2.0,3,2,18,30,0.0,124,1,0.0,2,6,1,0.0,40,5,0,3,0.0,0.0,4,26,37,15,14,51,10,0.0,10
Mono,43,1,8,20,4,30,0.0,75,58,12,2.0,0.0,7,19,211,30,23,0.0,13,0,0,0.0,5,6,25,9,1.0,154,0,0.0,6,3,0,4.0,36,3,2,5,0.0,0.0,6,11,41,21,25,32,12,0.0,10
Monterey,"1,802",246,805,373,230,"1,058",1.0,"2,312","1,107",273,35.0,19.0,449,"1,871","10,043",785,729,27.0,"1,208",58,246,43.0,547,159,"2,502",275,28.0,"6,026",82,17.0,168,764,14,20.0,"1,937",150,94,412,74.0,0.0,189,"1,026",455,"2,080",911,"1,044",310,9.0,"1,519"
Napa,597,13,171,297,38,265,2.0,551,461,194,4.0,4.0,104,353,"2,225",215,446,2.0,114,6,27,1.0,61,60,426,111,4.0,"1,384",13,1.0,60,73,3,16.0,560,40,19,100,5.0,0.0,61,201,122,281,359,475,107,0.0,162
Nevada,280,2,187,134,11,205,1.0,327,318,53,1.0,1.0,128,306,"1,765",153,194,5.0,288,10,4,5.0,23,17,242,80,24.0,991,10,1.0,17,25,4,8.0,482,17,1,33,2.0,0.0,74,227,134,292,255,235,52,0.0,209
Orange,"7,627",706,"7,948","1,115","1,228","8,430",31.0,"18,389","9,232",988,170.0,86.0,"2,189","12,736","65,638","7,052","3,188",94.0,"7,008",328,642,62.0,"2,495",782,"19,624","1,643",594.0,"46,607",732,52.0,830,"2,786",182,117.0,"10,196",840,601,"1,580",176.0,0.0,"2,066","4,953","3,491","8,835","5,243","4,240","2,645",48.0,"6,699"
Placer,703,17,996,174,93,"1,058",4.0,"2,184","1,129",97,9.0,12.0,186,"1,195","6,969",728,573,33.0,573,53,53,7.0,160,106,"2,002",159,20.0,"5,165",52,3.0,107,233,17,33.0,"1,146",43,48,83,7.0,0.0,180,683,592,658,463,429,151,1.0,484
Plumas,146,2,9,57,2,31,0.0,66,71,54,0.0,0.0,19,35,304,26,72,1.0,68,6,2,0.0,7,23,26,47,7.0,158,1,1.0,23,9,4,0.0,140,10,4,0,0.0,0.0,0,67,22,6,73,116,14,0.0,4
Riverside,"7,308",553,"5,447","1,313",784,"7,600",39.0,"13,992","10,349",938,60.0,94.0,"2,331","12,869","61,826","5,427","3,558",76.0,"8,089",229,835,81.0,"2,226",495,"14,638","1,627",603.0,"39,888",501,57.0,550,"1,668",96,121.0,"11,647",676,563,"2,462",193.0,0.0,"1,743","6,635","5,849","10,291","5,012","4,451","1,153",55.0,"6,602"
Sacramento,"7,412",736,"2,791","1,129","1,088","4,153",23.0,"9,579","6,798",906,40.0,73.0,"1,398","6,304","36,588","3,407","2,300",133.0,"4,642",315,"1,264",78.0,"2,206",369,"7,695","1,697",35.0,"23,443",385,58.0,387,"3,162",124,73.0,"6,942",651,483,908,111.0,0.0,414,"4,224","1,654","6,203","2,718","4,741","1,195",18.0,"4,884"
San Benito,183,9,83,60,19,76,0.0,124,84,13,0.0,0.0,30,94,556,40,47,4.0,74,6,5,2.0,39,25,95,33,3.0,334,10,0.0,28,33,2,0.0,121,16,6,17,13.0,0.0,12,66,28,101,55,114,8,3.0,64
San Bernardino,"10,217",805,"5,502","1,667","1,502","5,069",18.0,"11,019","7,675","1,105",40.0,107.0,"1,969","9,661","52,007","4,239","3,306",170.0,"8,405",410,"1,085",128.0,"2,982",803,"10,726","2,462",119.0,"29,988",656,118.0,846,"2,829",122,75.0,"11,711","1,047",780,"1,793",288.0,0.0,"1,957","6,680","2,566","10,308","5,031","6,261",456,43.0,"7,790"
San Diego,"11,288","1,495","5,318","1,836","1,781","6,951",48.0,"16,107","4,175",708,46.0,99.0,"1,438","8,907","56,797","5,981","4,462",151.0,"4,658",347,829,80.0,"3,013",974,"15,022","2,971",79.0,"37,946",318,69.0,"1,098","1,387",127,159.0,"9,120","1,461",684,"1,161",153.0,0.0,"1,707","5,267","9,112","9,731","3,853","7,097","2,648",124.0,"7,338"
San Francisco,"6,410",862,"2,208",870,"2,065","3,213",26.0,"21,382","8,672","1,088",8.0,8.0,"1,870","17,403","55,253","3,387","2,494",74.0,"2,499",303,296,56.0,"3,281",319,"29,851","1,203",841.0,"45,385","1,896",95.0,373,93,134,46.0,"4,993",331,187,422,251.0,0.0,16,"2,019","2,876","4,875","2,974","2,700",790,54.0,"3,803"
San Joaquin,"5,991",181,"2,434","1,097",760,"2,591",25.0,"5,038","2,909",435,41.0,41.0,720,"4,434","21,751","1,902","1,305",133.0,"2,620",270,"1,039",68.0,"1,671",230,"5,966","1,536",17.0,"13,965",723,44.0,247,"1,269",93,21.0,"3,925",333,293,"1,027",173.0,0.0,484,"2,286",950,"3,861","1,639","4,005",358,17.0,"2,589"
San Luis Obispo,829,12,977,421,45,963,3.0,"1,331","1,119",146,12.0,5.0,276,"1,404","5,812",647,395,7.0,643,36,27,2.0,85,87,"1,303",131,10.0,"4,345",31,5.0,96,130,24,17.0,"1,038",67,11,68,11.0,0.0,218,398,361,429,640,646,416,9.0,272
San Mateo,"1,928",167,"1,546",474,356,"2,027",10.0,"4,916","2,217",681,23.0,15.0,686,"2,421","15,142","1,691","1,179",58.0,"1,302",92,66,7.0,567,318,"4,968",353,94.0,"11,055",153,3.0,325,441,31,55.0,"2,481",136,156,230,21.0,0.0,130,984,"1,093","1,606","1,497","1,029",618,7.0,"1,230"
Santa Barbara,"1,532",128,780,394,199,935,5.0,"1,984","2,245",236,13.0,7.0,235,"2,059","8,742",847,799,30.0,864,54,70,8.0,327,237,"1,248",271,30.0,"5,825",73,7.0,257,337,17,22.0,"1,663",205,45,94,26.0,0.0,253,939,499,"1,254",724,940,651,20.0,"1,038"
Santa Clara,"5,995",752,"3,807",701,986,"4,154",22.0,"13,857","4,613",488,33.0,53.0,"1,234","6,044","44,954","3,718","1,998",117.0,"4,853",266,596,46.0,"1,892",780,"12,664","1,305",157.0,"27,773",281,43.0,799,"2,097",106,175.0,"6,851",656,482,"2,391",171.0,0.0,"1,270","3,859","1,734","10,330","2,992","3,258","2,493",19.0,"7,422"
Santa Cruz,"1,056",28,902,226,112,"1,125",4.0,"2,666","1,124",117,28.0,11.0,375,"1,633","8,947","1,021",501,37.0,734,69,80,3.0,232,134,"2,858",231,20.0,"6,445",139,7.0,156,445,25,34.0,"1,235",128,6,187,23.0,0.0,159,584,427,"1,267",651,665,607,22.0,964
Shasta,"1,225",68,557,245,102,577,3.0,"1,095",459,61,1.0,6.0,190,"1,092","5,645",411,504,11.0,745,61,116,6.0,177,115,"1,397",381,6.0,"3,175",17,0.0,118,351,50,5.0,"1,249",182,8,260,46.0,0.0,220,778,286,"1,221",471,924,113,3.0,841
Sierra,5,0,2,0,0,2,0.0,4,1,0,0.0,0.0,1,4,28,2,9,0.0,3,0,1,0.0,1,0,2,3,0.0,12,0,0.0,0,1,0,0.0,12,0,0,0,0.0,0.0,1,10,3,4,2,4,3,0.0,2
Siskiyou,176,1,103,73,6,89,1.0,112,105,28,2.0,1.0,47,121,800,59,100,1.0,190,4,4,6.0,8,13,68,48,2.0,381,4,1.0,15,22,2,2.0,290,22,0,10,0.0,0.0,70,145,58,129,145,147,19,2.0,95
Solano,"2,112",195,"1,157",538,366,"1,073",19.0,"2,380","1,340",894,11.0,42.0,"1,073","2,088","12,004",796,"1,326",99.0,"2,334",140,192,30.0,701,171,"2,249",345,28.0,"6,337",166,11.0,179,496,30,52.0,"3,660",127,141,438,53.0,0.0,238,"1,455",848,"2,007","2,205","1,202",156,8.0,"1,399"
Sonoma,"2,025",77,758,683,159,841,10.0,"2,000","1,394",241,11.0,5.0,181,"1,804","7,586",713,803,23.0,596,64,131,12.0,277,297,"2,073",420,21.0,"5,358",81,6.0,298,283,35,27.0,"1,399",204,59,190,6.0,0.0,309,668,457,829,731,"1,438",334,1.0,554
Stanislaus,"3,300",342,"2,501",920,444,"1,964",4.0,"3,304","3,129",296,22.0,25.0,595,"4,148","16,789","1,365",959,35.0,"1,815",127,247,41.0,905,190,"3,419",735,12.0,"10,781",91,35.0,196,525,57,27.0,"2,774",256,275,499,88.0,0.0,385,"1,498",801,"3,234","1,276","2,158",345,6.0,"2,501"
Sutter,342,27,417,72,51,428,2.0,570,435,59,2.0,3.0,73,463,"2,847",292,265,7.0,345,17,18,1.0,87,30,581,110,6.0,"1,753",15,3.0,32,86,7,2.0,610,22,13,76,14.0,0.0,142,336,128,484,274,222,96,2.0,372
Tehama,274,8,172,100,27,308,0.0,262,297,84,2.0,1.0,70,391,"1,823",159,228,8.0,219,12,21,8.0,46,49,240,23,3.0,"1,120",17,0.0,52,60,4,8.0,447,24,8,70,2.0,0.0,37,256,310,256,191,168,28,3.0,144
Trinity,77,0,13,14,1,10,2.0,47,36,1,2.0,0.0,6,34,254,15,17,1.0,67,1,16,1.0,8,5,16,23,6.0,106,6,0.0,5,14,0,1.0,84,10,0,0,0.0,0.0,22,55,17,64,29,63,1,0.0,63
Tulare,"1,645",109,"1,419",376,161,"1,483",2.0,"2,807","1,792",270,30.0,30.0,373,"2,247","11,722",615,558,24.0,"1,801",72,167,33.0,382,149,"2,092",337,19.0,"7,152",107,25.0,162,752,23,34.0,"2,359",188,56,605,36.0,0.0,408,"1,308",694,"2,211","1,051","1,068",320,13.0,"1,397"
Tuolumne,206,4,68,60,14,91,1.0,223,185,73,2.0,0.0,47,219,"1,124",90,184,10.0,195,13,3,2.0,20,44,87,65,1.0,623,3,0.0,48,83,3,0.0,379,8,6,27,0.0,0.0,27,232,183,122,147,136,14,4.0,79
Ventura,"2,239",224,"3,029",403,313,"2,545",8.0,"4,030","1,909",209,54.0,20.0,589,"3,328","15,985","1,861",929,34.0,"1,683",110,174,26.0,730,268,"4,114",335,38.0,"11,764",236,26.0,270,884,50,10.0,"2,612",301,146,328,53.0,0.0,484,"1,330","1,092","1,609","1,282","1,213",634,2.0,"1,144"
Yolo,568,58,398,126,98,972,1.0,"1,402","1,004",75,8.0,6.0,177,958,"5,656",757,368,39.0,580,73,33,9.0,166,63,"1,460",118,13.0,"4,089",41,13.0,65,233,21,14.0,948,51,22,63,14.0,0.0,217,479,162,619,469,328,797,2.0,487
Yuba,325,12,153,69,36,214,1.0,388,352,28,7.0,5.0,73,271,"2,072",159,173,12.0,377,31,32,3.0,59,22,309,107,2.0,"1,032",15,10.0,23,59,9,9.0,550,32,12,97,4.0,0.0,78,371,103,490,179,240,38,1.0,344
